시간,동작,내용
2026-04-28 21:16:59,스텝정지,모터 OFF
2026-04-28 21:17:01,스텝전진,무한 정방향
2026-04-28 21:17:09,스텝정지,모터 OFF
2026-04-28 21:17:25,스텝전진,무한 정방향
2026-04-28 21:17:40,스텝정지,모터 OFF
2026-04-28 21:18:03,스텝전진,무한 정방향
2026-04-28 21:18:13,스텝정지,모터 OFF
2026-04-28 21:59:46,스텝전진,무한 정방향
2026-04-28 21:59:49,스텝정지,모터 OFF
2026-04-28 22:02:00,스텝전진,무한 정방향
2026-04-28 22:02:02,스텝정지,모터 OFF
2026-04-28 22:02:45,스텝전진,무한 정방향
2026-04-28 22:02:48,스텝정지,모터 OFF
2026-04-28 22:03:05,스텝전진,무한 정방향
2026-04-28 22:03:08,스텝정지,모터 OFF
2026-04-28 22:03:28,스텝전진,무한 정방향
2026-04-28 22:03:33,스텝정지,모터 OFF
2026-04-28 22:05:29,스텝전진,무한 정방향
2026-04-28 22:05:30,스텝정지,모터 OFF
2026-04-28 22:05:46,스텝전진,무한 정방향
2026-04-28 22:05:47,스텝정지,모터 OFF
2026-04-29 10:20:36,정방향구동,속도=70%
2026-04-29 10:20:38,정지,컨베이어 정지
2026-04-29 10:20:39,정지,컨베이어 정지
2026-04-29 10:29:02,정방향구동,속도=70%
2026-04-29 10:29:03,역방향구동,속도=70%
2026-04-29 10:29:03,정지,컨베이어 정지
2026-04-29 10:59:15,정방향구동,속도=70%
2026-04-29 10:59:15,역방향구동,속도=70%
2026-04-29 10:59:16,정지,컨베이어 정지
2026-04-29 10:59:16,서보,0도
2026-04-29 10:59:17,서보,90도
2026-04-29 10:59:17,서보,180도
2026-04-29 11:06:56,스텝전진,무한 정방향
2026-04-29 11:06:57,스텝정지,모터 OFF
2026-04-29 11:07:00,스텝후진,무한 역방향
2026-04-29 11:07:00,스텝정지,모터 OFF
2026-04-29 11:07:46,스텝전진,무한 정방향
2026-04-29 11:07:47,스텝정지,모터 OFF
2026-04-29 11:08:02,스텝전진,무한 정방향
2026-04-29 11:08:02,스텝정지,모터 OFF
2026-04-29 11:08:16,스텝전진,무한 정방향
2026-04-29 11:08:17,스텝정지,모터 OFF
2026-04-29 11:08:44,스텝전진,무한 정방향
2026-04-29 11:08:46,스텝정지,모터 OFF
2026-04-29 11:09:37,스텝전진,무한 정방향
2026-04-29 11:09:38,스텝정지,모터 OFF
2026-04-29 11:09:54,스텝전진,무한 정방향
2026-04-29 11:09:55,스텝정지,모터 OFF
2026-04-29 11:11:01,스텝전진,무한 정방향
2026-04-29 11:11:02,스텝정지,모터 OFF
2026-04-29 11:11:27,스텝전진,무한 정방향
2026-04-29 11:11:28,스텝정지,모터 OFF
2026-04-29 11:12:08,스텝전진,무한 정방향
2026-04-29 11:12:08,스텝정지,모터 OFF
2026-04-29 11:12:24,스텝전진,무한 정방향
2026-04-29 11:12:25,스텝정지,모터 OFF
2026-04-29 11:13:07,스텝전진,무한 정방향
2026-04-29 11:13:08,스텝정지,모터 OFF
2026-04-29 11:13:10,스텝후진,무한 역방향
2026-04-29 11:13:10,스텝정지,모터 OFF
2026-04-29 11:14:08,스텝전진,무한 정방향
2026-04-29 11:14:09,스텝정지,모터 OFF
2026-04-29 11:26:11,스텝전진,무한 정방향
2026-04-29 11:26:14,스텝정지,모터 OFF
2026-04-29 11:27:52,스텝전진,무한 정방향
2026-04-29 11:27:57,스텝정지,모터 OFF
2026-04-29 11:28:49,스텝전진,무한 정방향
2026-04-29 11:28:54,스텝정지,모터 OFF
2026-04-29 11:33:17,정방향구동,속도=70%
2026-04-29 11:33:18,정지,컨베이어 정지
2026-04-29 11:40:02,스텝전진,무한 정방향
2026-04-29 11:40:04,스텝정지,모터 OFF
2026-04-29 11:40:07,스텝전진,무한 정방향
